SpiritRing,精神戒指
RecallRing,戒指
RedOrchidRing,红兰花戒指
RedFlowerRing,红花戒指
SmashRing,碎轮戒指
HwanDevilRing,恶魔戒指
PurityRing,纯洁之环
Five字符串Ring,五线谱戒指
MundaneRing,俗世戒指
NokChiRing,诺基亚戒指
TaoProtectRing,道护环
MirRing,米尔戒指
MysteryCircle,神秘戒指
TarragonRing,塔拉贡戒指
RingOfAgony,天使之戒
ParalysisRing,麻痹戒指
传送Ring,传送戒指
ClearRing,隐身戒指
ProtectionRing,护身戒指
RevivalRing,复活戒指
MuscleRing,力量戒指
FlameRing,火焰之环
RecoveryRing,治疗戒指
HardenedRing,记忆戒指
GaleRing,大风戒指
SkeletonRing,骷髅戒指
BlackRing,黑戒指
SerpentEyeRing,蛇眼戒指
PearlRing,珍珠戒指
GoldRing,金戒指
CharmRing,魅力戒指
MoralRing,道德戒指
ExpelRing,驱逐戒指
CoralRing,珊瑚戒指
RubyRing,红宝石戒指
PlatinumRing,铂金戒指
DragonRing,龙戒
EvilSlayerRing,邪恶杀手戒指
JadeSnowRing,翡翠雪花戒指
TwinGoldRing,双金戒指
PowerRing,力量之环
VioletRing,紫罗兰指环
TitanRing,泰坦之环
BoundlessRing,无边无际指环
ThunderRing,雷霆之心
TaeGukRing,泰戈尔指环
OmaSpiritRing,大马精神之环
NobleRing,高贵之环
SoulRing,灵魂之环
PledgeRing,誓约环
CrimsonRubyRing,红宝戒指
FiveElementRing,五元素戒指
GoldDragonRing,金龙戒指
DemonRubyRing,恶魔之戒
EvilExpelRing,驱邪戒指
PurpleFoxRing,紫色狐狸戒指
RedFoxRing,红色狐狸戒指
BlueFoxRing,蓝狐戒指
GreatPurpleFoxRing,大紫狐狸戒指
GreatRedFoxRing,大红狐狸圈
GreatBlueFoxRing,大蓝狐戒指
SurvivalRing,生存之环
SealRing,海豹环
TajiRing,工艺戒指
CraftRing1,工艺戒指1
CraftRing2,工艺戒指2
CraftRing3,工艺戒指3
CraftRing4,工艺戒指4
CraftRing5,工艺戒指5
CraftRing6,工艺戒指6
CraftRing7,工艺戒指7
CraftRing8,工艺戒指8
CraftRing9,工艺戒指9
CraftRing10,工艺戒指10
RedDemonRing,红魔戒指
CloudRing,云戒指
PoisonRing,毒药戒指
EvilDragonRing,恶龙戒指
RDragonRing,黑龙戒指
