SpiritNecklace,精神项链
RecallNecklace,纪念品项链
RedOrchidNecklace,红兰花项链
RedFlowerNecklace,红花项链
SmashPendulum,大摆锤项链
HwanDevilNecklace,恶魔项链
PurityNecklace,纯洁项链
Five字符串Necklace,五线谱项链
MirNecklace,米尔项链
TarragonNecklace,塔拉贡项链
NecklaceOfAgony,神奇的项链
SurvivalNecklace,生存项链
ProbeNecklace,探针项链
SkillNecklace,技能项链
PlatinNecklace,铂金项链
JadeNecklace,翡翠项链
TigerNecklace,虎纹项链
IllusionNecklace,幻影项链
NagaNecklace,娜迦项链
AmberNecklace,琥珀项链
PheonixBead,凤凰珠
LanternNecklace,灯笼项链
GaleNecklace,烈风项链
WarriorNecklace,战士项链
BlueCrystalNecklace,蓝水晶项链
BlueJadeNecklace,蓝玉项链
ConvexLens,凸透镜
BambooPipe,竹管
BlueThunderNecklace,蓝色雷霆项链
SpiritPowerNecklace,精神力量项链
ClawNecklace,爪子项链
LifeNecklace,生命项链
PearlNecklace,珍珠项链
AmethystNecklace,紫水晶项链
DemonicBells,恶魔的铃铛
SoulNecklace,灵魂项链
GreenBead,绿珠
HeroNecklace,英雄项链
AdamantineNecklace,金刚石项链
RequiemNecklace,安魂曲项链
CuspidNecklace,残缺的项链
SorceryAnchor,巫术之锚
PurifiedMirror,净化的镜子
AdamantNecklace,金刚项链
EvilTriangle,邪恶三角
CrossPurified,净化的十字架
PurpleFoxNecklace,PurpleFoxNecklace
RedFoxNecklace,RedFoxNecklace
BlueFoxNecklace,BlueFoxNecklace
GreatPurpleFoxNecklace,GreatPurpleFoxNecklace
GreatRedFoxNecklace,GreatRedFoxNecklace
GreatBlueFoxNecklace,GreatBlueFoxNecklace
GoldenPendant,金吊坠
PrecisionPendant,精密吊坠
BlackCrystalPendant,黑水晶吊坠
EbonyPendant,乌木吊坠
YellowCrystalPendant,黄水晶吊坠
OldNagaNecklace,老纳加项链
AmberPendant,琥珀吊坠
WornBeadofPhoenix,凤凰之珠
BlueJadePendant,蓝玉吊坠
ClawPendant,爪形吊坠
FireConvexLens,火焰凸透镜
StrongBambooFlute,坚固的竹笛
DemonMask,恶魔面具
VioletOrb,紫金石
KunroonTear,鲲鹏之泪
DragonNecklace,龙纹项链
DragonPendant,龙吊坠
